海域编号,海域名字,封面文件,封面原图URL,封面尺寸,路线图文件,路线图原图URL,路线图尺寸
4-1,爪姆岛近海,kcwiki_海域图片/封面/4-1爪姆岛近海.png,https://uploads.kcwiki.cn/commons/d/d7/MapBannerHD4-1.png,476x206,kcwiki_海域图片/路线图/4-1爪姆岛近海+全图.png,https://uploads.kcwiki.cn/commons/8/88/MapHD4-1.png,1200x720
4-2,咖喱洋海域,kcwiki_海域图片/封面/4-2咖喱洋海域.png,https://uploads.kcwiki.cn/commons/5/59/MapBannerHD4-2.png,476x206,kcwiki_海域图片/路线图/4-2咖喱洋海域+全图.png,https://uploads.kcwiki.cn/commons/7/76/MapHD4-2.png,1200x720
4-3,里兰卡岛,kcwiki_海域图片/封面/4-3里兰卡岛.png,https://uploads.kcwiki.cn/commons/1/1c/MapBannerHD4-3.png,476x206,kcwiki_海域图片/路线图/4-3里兰卡岛+全图.png,https://uploads.kcwiki.cn/commons/c/c0/MapHD4-3.png,1200x720
4-4,加斯加达马岛,kcwiki_海域图片/封面/4-4加斯加达马岛.png,https://uploads.kcwiki.cn/commons/b/bd/MapBannerHD4-4.png,476x206,kcwiki_海域图片/路线图/4-4加斯加达马岛+全图.png,https://uploads.kcwiki.cn/commons/8/85/MapHD4-4.png,1200x720
4-5,咖喱洋里兰卡岛海域,kcwiki_海域图片/封面/4-5咖喱洋里兰卡岛海域.png,https://uploads.kcwiki.cn/commons/5/5c/MapBannerHD4-5.png,980x136,kcwiki_海域图片/路线图/4-5咖喱洋里兰卡岛海域+全图.png,https://uploads.kcwiki.cn/commons/2/24/MapHD4-5.png,1200x720
5-1,南方海域前方,kcwiki_海域图片/封面/5-1南方海域前方.png,https://uploads.kcwiki.cn/commons/0/00/MapBannerHD5-1.png,476x206,kcwiki_海域图片/路线图/5-1南方海域前方+全图.png,https://uploads.kcwiki.cn/commons/9/9f/MapHD5-1.png,1200x720
5-2,珊瑚群岛近海,kcwiki_海域图片/封面/5-2珊瑚群岛近海.png,https://uploads.kcwiki.cn/commons/8/86/MapBannerHD5-2.png,476x206,kcwiki_海域图片/路线图/5-2珊瑚群岛近海+全图.png,https://uploads.kcwiki.cn/commons/4/40/MapHD5-2.png,1200x720
5-3,萨部岛近海海域,kcwiki_海域图片/封面/5-3萨部岛近海海域.png,https://uploads.kcwiki.cn/commons/3/3d/MapBannerHD5-3.png,476x206,kcwiki_海域图片/路线图/5-3萨部岛近海海域+全图.png,https://uploads.kcwiki.cn/commons/7/7b/MapHD5-3.png,1200x720
5-4,沙门海域,kcwiki_海域图片/封面/5-4沙门海域.png,https://uploads.kcwiki.cn/commons/c/c6/MapBannerHD5-4.png,476x206,kcwiki_海域图片/路线图/5-4沙门海域+全图.png,https://uploads.kcwiki.cn/commons/5/5a/MapHD5-4.png,1200x720
5-5,沙门海域北方,kcwiki_海域图片/封面/5-5沙门海域北方.png,https://uploads.kcwiki.cn/commons/c/c9/MapBannerHD5-5.png,980x136,kcwiki_海域图片/路线图/5-5沙门海域北方+全图.png,https://uploads.kcwiki.cn/commons/9/91/MapHD5-5.png,1200x720
5-6,拉包尔方面海域,kcwiki_海域图片/封面/5-6拉包尔方面海域.png,https://uploads.kcwiki.cn/commons/0/01/MapBannerHD5-6.png,980x136,kcwiki_海域图片/路线图/5-6拉包尔方面海域+全图.png,https://uploads.kcwiki.cn/commons/3/3e/MapHD5-6.png,900x540
6-1,中部海域警戒线,kcwiki_海域图片/封面/6-1中部海域警戒线.png,https://uploads.kcwiki.cn/commons/5/52/MapBannerHD6-1.png,476x206,kcwiki_海域图片/路线图/6-1中部海域警戒线+全图.png,https://uploads.kcwiki.cn/commons/1/12/MapHD6-1.png,1200x720
6-2,马绍尔群岛近海,kcwiki_海域图片/封面/6-2马绍尔群岛近海.png,https://uploads.kcwiki.cn/commons/d/df/MapBannerHD6-2.png,476x206,kcwiki_海域图片/路线图/6-2马绍尔群岛近海+全图.png,https://uploads.kcwiki.cn/commons/4/42/MapHD6-2.png,1200x720
6-3,古阿诺环礁海域,kcwiki_海域图片/封面/6-3古阿诺环礁海域.png,https://uploads.kcwiki.cn/commons/7/79/MapBannerHD6-3.png,476x206,kcwiki_海域图片/路线图/6-3古阿诺环礁海域+全图.png,https://uploads.kcwiki.cn/commons/0/05/MapHD6-3.png,1200x720
6-4,中部北海域孔雀岛近海,kcwiki_海域图片/封面/6-4中部北海域孔雀岛近海.png,https://uploads.kcwiki.cn/commons/0/00/MapBannerHD6-4.png,476x206,kcwiki_海域图片/路线图/6-4中部北海域孔雀岛近海+全图.png,https://uploads.kcwiki.cn/commons/2/2d/MapHD6-4.png,1200x720
6-5,kw环礁沿海海域,kcwiki_海域图片/封面/6-5kw环礁沿海海域.png,https://uploads.kcwiki.cn/commons/8/81/MapBannerHD6-5.png,980x136,kcwiki_海域图片/路线图/6-5kw环礁沿海海域+全图.png,https://uploads.kcwiki.cn/commons/0/0a/MapHD6-5.png,1200x720
7-1,文莱泊地近海,kcwiki_海域图片/封面/7-1文莱泊地近海.png,https://uploads.kcwiki.cn/commons/8/8f/MapBannerHD7-1.png,476x206,kcwiki_海域图片/路线图/7-1文莱泊地近海+全图.png,https://uploads.kcwiki.cn/commons/d/dc/MapHD7-1.png,1200x720
7-2,塔威塔威泊地海岸,kcwiki_海域图片/封面/7-2塔威塔威泊地海岸.png,https://uploads.kcwiki.cn/commons/c/c8/MapBannerHD7-2.png,476x206,kcwiki_海域图片/路线图/7-2塔威塔威泊地海岸+全图.png,https://uploads.kcwiki.cn/commons/e/e1/MapHD7-2.png,1200x720
7-3,槟榔屿海域,kcwiki_海域图片/封面/7-3槟榔屿海域.png,https://uploads.kcwiki.cn/commons/d/d4/MapBannerHD7-3.png,476x206,kcwiki_海域图片/路线图/7-3槟榔屿海域+全图.png,https://uploads.kcwiki.cn/commons/a/a7/MapHD7-3.png,1200x720
7-4,昭南本土航线,kcwiki_海域图片/封面/7-4昭南本土航线.png,https://uploads.kcwiki.cn/commons/d/d5/MapBannerHD7-4.png,476x206,kcwiki_海域图片/路线图/7-4昭南本土航线+全图.png,https://uploads.kcwiki.cn/commons/2/2a/MapHD7-4.png,1200x720
7-5,爪哇岛海域,kcwiki_海域图片/封面/7-5爪哇岛海域.png,https://uploads.kcwiki.cn/commons/0/08/MapBannerHD7-5.png,980x136,kcwiki_海域图片/路线图/7-5爪哇岛海域+全图.png,https://uploads.kcwiki.cn/commons/e/eb/MapHD7-5.png,1200x720
