"显示编号","内部ID","普通规则一致","大成功分组一致","Poi普通规则","本项目普通规则","Poi大成功策略","本项目大成功策略","受影响的判定差异","人工复核"
"24","24","是","是","FSLevel=50；ShipCount=6；LevelSum=200；FleetCompo=CL:1+DDorDE:4；FSType=CL","FSLevel=50；ShipCount=6；LevelSum=200；FleetCompo=CL:1+DDorDE:4；FSType=CL","drum:0:2:2","drum:0:2:2","daihatsu-readiness",""
"25","25","是","是","FSLevel=25；ShipCount=4；FleetCompo=CA:2+DD:2","FSLevel=25；ShipCount=4；FleetCompo=CA:2+DD:2","standard","standard","daihatsu-readiness",""
"26","26","是","是","FSLevel=30；ShipCount=4；FleetCompo=CVLike:1+CL:1+DD:2","FSLevel=30；ShipCount=4；FleetCompo=CVLike:1+CL:1+DD:2","standard","standard","daihatsu-readiness",""
"27","27","是","是","FSLevel=1；ShipCount=2；FleetCompo=SSLike:2","FSLevel=1；ShipCount=2；FleetCompo=SSLike:2","standard","standard","daihatsu-readiness",""
"28","28","是","是","FSLevel=30；ShipCount=3；FleetCompo=SSLike:3","FSLevel=30；ShipCount=3；FleetCompo=SSLike:3","standard","standard","daihatsu-readiness",""
"29","29","是","是","FSLevel=50；ShipCount=3；FleetCompo=SSLike:3","FSLevel=50；ShipCount=3；FleetCompo=SSLike:3","standard","standard","daihatsu-readiness",""
"30","30","是","是","FSLevel=55；ShipCount=4；FleetCompo=SSLike:4","FSLevel=55；ShipCount=4；FleetCompo=SSLike:4","standard","standard","daihatsu-readiness",""
"31","31","是","是","FSLevel=60；ShipCount=4；LevelSum=200；FleetCompo=SSLike:4","FSLevel=60；ShipCount=4；LevelSum=200；FleetCompo=SSLike:4","standard","standard","daihatsu-readiness",""
"32","32","是","是","FSLevel=5；ShipCount=3；FleetCompo=CT:1+DD:2；FSType=CT","FSLevel=5；ShipCount=3；FleetCompo=CT:1+DD:2；FSType=CT","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；daihatsu-readiness",""
"33","33","是","是","FSLevel=1；ShipCount=2；FleetCompo=DD:2","FSLevel=1；ShipCount=2；FleetCompo=DD:2","standard","standard","daihatsu-readiness",""
"34","34","是","是","FSLevel=1；ShipCount=2；FleetCompo=DD:2","FSLevel=1；ShipCount=2；FleetCompo=DD:2","standard","standard","daihatsu-readiness",""
"35","35","是","是","FSLevel=40；ShipCount=6；FleetCompo=CVLike:2+CA:1+DD:1","FSLevel=40；ShipCount=6；FleetCompo=CVLike:2+CA:1+DD:1","standard","standard","daihatsu-readiness",""
"36","36","是","是","FSLevel=30；ShipCount=6；FleetCompo=AV:2+CL:1+DD:1","FSLevel=30；ShipCount=6；FleetCompo=AV:2+CL:1+DD:1","standard","standard","daihatsu-readiness",""
"37","37","是","是","FSLevel=50；ShipCount=6；LevelSum=200；FleetCompo=CL:1+DD:5；DrumCarrierCount=3；DrumCount=4","FSLevel=50；ShipCount=6；LevelSum=200；FleetCompo=CL:1+DD:5；DrumCarrierCount=3；DrumCount=4","drum:4:5:5","drum:4:5:5","daihatsu-readiness",""
"38","38","是","是","FSLevel=65；ShipCount=6；LevelSum=240；FleetCompo=DD:5；DrumCarrierCount=4；DrumCount=8","FSLevel=65；ShipCount=6；LevelSum=240；FleetCompo=DD:5；DrumCarrierCount=4；DrumCount=8","drum:8:10:10","drum:8:10:10","daihatsu-readiness",""
"39","39","是","是","FSLevel=3；ShipCount=5；LevelSum=180；FleetCompo=AS:1+SSLike:4","FSLevel=3；ShipCount=5；LevelSum=180；FleetCompo=AS:1+SSLike:4","standard","standard","daihatsu-readiness",""
"40","40","是","是","FSLevel=25；ShipCount=6；LevelSum=150；FleetCompo=CL:1+AV:2+DD:2；FSType=CL","FSLevel=25；ShipCount=6；LevelSum=150；FleetCompo=CL:1+AV:2+DD:2；FSType=CL","drum:0:4:4","drum:0:4:4","daihatsu-readiness",""
"41","41","是","是","FSLevel=30；ShipCount=3；LevelSum=100；FleetCompo=DDorDE:3；TotalFirepower=60；TotalAntiAir=80；TotalAsw=210","FSLevel=30；ShipCount=3；LevelSum=100；FleetCompo=DDorDE:3；TotalFirepower=60；TotalAntiAir=80；TotalAsw=210","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"42","42","否","是","FSLevel=45；ShipCount=4；LevelSum=200；AnyFleetCompo=CL:1+DD:2|CL:1+DE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DD:2|CVE:1+DE:2","FSLevel=45；ShipCount=4；LevelSum=200；AnyFleetCompo=CL:1+DDorDE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DE:2|CVE:1+DD:2","standard","standard","cve-classification；daihatsu-readiness",""
"43","43","是","是","FSLevel=55；ShipCount=6；LevelSum=300；FSType=CVL；AnyFleetCompo=CVE:1+DD:2|CVE:1+DE:2|CVL:1+CL:1+DD:4|CVL:1+CL:1+DE:2|CVL:1+DD:1+DE:3|CVL:1+CT:1+DE:2|CVL:1+CVE:1+DD:2|CVL:1+CVE:1+DE:2；TotalFirepower=500；TotalAntiAir=280；TotalAsw=280；TotalLos=170","FSLevel=55；ShipCount=6；LevelSum=300；FSType=CVL；AnyFleetCompo=CVE:1+DD:2|CVE:1+DE:2|CVL:1+CL:1+DD:4|CVL:1+CL:1+DE:2|CVL:1+DD:1+DE:3|CVL:1+CT:1+DE:2|CVL:1+CVE:1+DD:2|CVL:1+CVE:1+DE:2；TotalFirepower=500；TotalAntiAir=280；TotalAsw=280；TotalLos=170","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；cve-classification；daihatsu-readiness",""
"44","44","是","是","FSLevel=35；ShipCount=6；LevelSum=210；FleetCompo=CVLike:2+AV:1+CL:1+DDorDE:2；DrumCarrierCount=3；DrumCount=6；TotalAntiAir=200；TotalAsw=200；TotalLos=150","FSLevel=35；ShipCount=6；LevelSum=210；FleetCompo=CVLike:2+AV:1+CL:1+DDorDE:2；DrumCarrierCount=3；DrumCount=6；TotalAntiAir=200；TotalAsw=200；TotalLos=150","drum:6:8:8","drum:6:8:8","effective-asw；daihatsu-readiness",""
"45","45","是","是","FSLevel=50；ShipCount=5；LevelSum=240；FSType=CVL；FleetCompo=CVL:1+DDorDE:4；TotalAntiAir=240；TotalAsw=300；TotalLos=180","FSLevel=50；ShipCount=5；LevelSum=240；FSType=CVL；FleetCompo=CVL:1+DDorDE:4；TotalAntiAir=240；TotalAsw=300；TotalLos=180","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"46","46","是","是","FSLevel=60；ShipCount=5；LevelSum=300；FleetCompo=CA:2+CL:1+DD:2；TotalFirepower=350；TotalAntiAir=250；TotalAsw=220；TotalLos=190","FSLevel=60；ShipCount=5；LevelSum=300；FleetCompo=CA:2+CL:1+DD:2；TotalFirepower=350；TotalAntiAir=250；TotalAsw=220；TotalLos=190","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"A1","100","是","是","FSLevel=5；ShipCount=4；LevelSum=10；FleetCompo=DDorDE:3","FSLevel=5；ShipCount=4；LevelSum=10；FleetCompo=DDorDE:3","standard","standard","daihatsu-readiness",""
"A2","101","是","是","FSLevel=20；ShipCount=4；FleetCompo=DDorDE:4；TotalFirepower=50；TotalAntiAir=70；TotalAsw=180","FSLevel=20；ShipCount=4；FleetCompo=DDorDE:4；TotalFirepower=50；TotalAntiAir=70；TotalAsw=180","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"A3","102","是","是","FSLevel=35；ShipCount=5；LevelSum=185；AnyFleetCompo=CL:1+DDorDE:3|CL:1+DE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DD:2|CVE:1+DE:2；TotalAsw=280；TotalLos=60","FSLevel=35；ShipCount=5；LevelSum=185；AnyFleetCompo=CL:1+DDorDE:3|CL:1+DE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DD:2|CVE:1+DE:2；TotalAsw=280；TotalLos=60","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；cve-classification；daihatsu-readiness",""
"A4","103","是","是","FSLevel=40；ShipCount=5；LevelSum=200；AnyFleetCompo=CL:1+DD:2|CL:1+DE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DD:2|CVE:1+DE:2；TotalFirepower=300；TotalAntiAir=200；TotalAsw=200；TotalLos=120","FSLevel=40；ShipCount=5；LevelSum=200；AnyFleetCompo=CL:1+DD:2|CL:1+DE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DD:2|CVE:1+DE:2；TotalFirepower=300；TotalAntiAir=200；TotalAsw=200；TotalLos=120","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；cve-classification；daihatsu-readiness",""
"A5","104","是","是","FSLevel=45；ShipCount=5；LevelSum=230；AnyFleetCompo=CL:1+DD:3|CL:1+DE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DD:2|CVE:1+DE:2；TotalFirepower=280；TotalAntiAir=220；TotalAsw=240；TotalLos=150","FSLevel=45；ShipCount=5；LevelSum=230；AnyFleetCompo=CL:1+DD:3|CL:1+DE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DD:2|CVE:1+DE:2；TotalFirepower=280；TotalAntiAir=220；TotalAsw=240；TotalLos=150","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；cve-classification；daihatsu-readiness",""
"A6","105","是","是","FSLevel=55；ShipCount=6；LevelSum=290；AnyFleetCompo=CL:1+DD:3|CL:1+DE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DD:2|CVE:1+DE:2；TotalFirepower=330；TotalAntiAir=300；TotalAsw=270；TotalLos=180","FSLevel=55；ShipCount=6；LevelSum=290；AnyFleetCompo=CL:1+DD:3|CL:1+DE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DD:2|CVE:1+DE:2；TotalFirepower=330；TotalAntiAir=300；TotalAsw=270；TotalLos=180","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；cve-classification；daihatsu-readiness",""
"B1","110","是","是","FSLevel=40；ShipCount=6；LevelSum=150；FleetCompo=AV:1+CL:1+DDorDE:2；TotalAntiAir=200；TotalAsw=200；TotalLos=140","FSLevel=40；ShipCount=6；LevelSum=150；FleetCompo=AV:1+CL:1+DDorDE:2；TotalAntiAir=200；TotalAsw=200；TotalLos=140","standard","standard","effective-asw；daihatsu-readiness",""
"B2","111","是","是","FSLevel=45；ShipCount=6；LevelSum=220；FleetCompo=CA:1+CL:1+DD:3；TotalFirepower=360；TotalAntiAir=160；TotalAsw=160；TotalLos=140","FSLevel=45；ShipCount=6；LevelSum=220；FleetCompo=CA:1+CL:1+DD:3；TotalFirepower=360；TotalAntiAir=160；TotalAsw=160；TotalLos=140","standard","standard","effective-asw；daihatsu-readiness",""
"B3","112","是","是","FSLevel=50；ShipCount=6；LevelSum=250；FleetCompo=AV:1+CL:1+DD:4；TotalFirepower=400；TotalAntiAir=220；TotalAsw=220；TotalLos=190","FSLevel=50；ShipCount=6；LevelSum=250；FleetCompo=AV:1+CL:1+DD:4；TotalFirepower=400；TotalAntiAir=220；TotalAsw=220；TotalLos=190","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"B4","113","是","是","FSLevel=55；ShipCount=6；LevelSum=300；FleetCompo=CA:2+CL:1+DD:2+SSLike:1；TotalFirepower=500；TotalAntiAir=280；TotalAsw=280；TotalLos=170","FSLevel=55；ShipCount=6；LevelSum=300；FleetCompo=CA:2+CL:1+DD:2+SSLike:1；TotalFirepower=500；TotalAntiAir=280；TotalAsw=280；TotalLos=170","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"B5","114","是","是","FSLevel=60；ShipCount=6；LevelSum=330；FleetCompo=AV:1+CL:1+DD:2；TotalFirepower=510；TotalAntiAir=400；TotalAsw=285；TotalLos=385","FSLevel=60；ShipCount=6；LevelSum=330；FleetCompo=AV:1+CL:1+DD:2；TotalFirepower=510；TotalAntiAir=400；TotalAsw=285；TotalLos=385","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"B6","115","是","是","FSLevel=75；ShipCount=6；LevelSum=400；FleetCompo=CL:1+DD:5；TotalFirepower=410；TotalAntiAir=390；TotalAsw=410；TotalLos=340；FSType=CL","FSLevel=75；ShipCount=6；LevelSum=400；FleetCompo=CL:1+DD:5；TotalFirepower=410；TotalAntiAir=390；TotalAsw=410；TotalLos=340；FSType=CL","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"D1","131","是","是","FSLevel=50；ShipCount=5；LevelSum=200；FSType=AV；FleetCompo=AV:1+DD:3；TotalAntiAir=240；TotalAsw=240；TotalLos=300","FSLevel=50；ShipCount=5；LevelSum=200；FSType=AV；FleetCompo=AV:1+DD:3；TotalAntiAir=240；TotalAsw=240；TotalLos=300","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"D2","132","是","是","FSLevel=55；ShipCount=5；LevelSum=270；FSType=AS；FleetCompo=AS:1+SSLike:3；TotalFirepower=60；TotalAntiAir=80；TotalAsw=50","FSLevel=55；ShipCount=5；LevelSum=270；FSType=AS；FleetCompo=AS:1+SSLike:3；TotalFirepower=60；TotalAntiAir=80；TotalAsw=50","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"D3","133","是","是","FSLevel=65；ShipCount=5；LevelSum=350；FSType=AS；FleetCompo=AS:1+SSLike:3；TotalFirepower=115；TotalAntiAir=90；TotalAsw=70；TotalLos=95","FSLevel=65；ShipCount=5；LevelSum=350；FSType=AS；FleetCompo=AS:1+SSLike:3；TotalFirepower=115；TotalAntiAir=90；TotalAsw=70；TotalLos=95","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"E1","141","是","是","FSLevel=55；ShipCount=6；LevelSum=290；FleetCompo=CA:1+CL:1+DD:3；FSType=CA；TotalFirepower=450；TotalAsw=330；TotalAntiAir=350；TotalLos=250","FSLevel=55；ShipCount=6；LevelSum=290；FleetCompo=CA:1+CL:1+DD:3；FSType=CA；TotalFirepower=450；TotalAntiAir=350；TotalAsw=330；TotalLos=250","flagship","flagship","flagship-great-success-formula；flagship-highest-level-waiver；effective-asw；daihatsu-readiness",""
"E2","142","是","是","FSLevel=70；ShipCount=5；LevelSum=320；FleetCompo=DD:5；TotalFirepower=280；TotalAntiAir=240；TotalAsw=200；TotalLos=160；DrumCarrierCount=3；DrumCount=4","FSLevel=70；ShipCount=5；LevelSum=320；FleetCompo=DD:5；TotalFirepower=280；TotalAntiAir=240；TotalAsw=200；TotalLos=160；DrumCarrierCount=3；DrumCount=4","drum:4:6:6","drum:4:6:6","effective-asw；daihatsu-readiness",""
